QUARTER,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,AIRPORT,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_GROUP,DEP_TIME_BLK,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2,5,2019-04-12,DL,2786,Malone,"Detroit, MI",1857,1936.0,39.0,2.0,18,3,0.0,0.0,0.0,0.0,34.0
2,5,2019-04-12,DL,2820,JFK,"Portland, OR",815,902.0,47.0,3.0,8,10,0.0,0.0,29.0,0.0,0.0
2,5,2019-04-12,DL,2919,JFK,"San Antonio, TX",1905,1925.0,20.0,1.0,19,7,20.0,0.0,63.0,0.0,0.0
2,5,2019-04-12,DL,2926,JFK,"San Francisco, CA",2116,2136.0,20.0,1.0,21,11,0.0,0.0,0.0,0.0,17.0
2,5,2019-04-12,DL,2941,Malone,"Atlanta, GA",1000,1000.0,0.0,0.0,10,4,0.0,0.0,15.0,0.0,0.0
2,5,2019-04-12,DL,2950,JFK,"Seattle, WA",1815,1820.0,5.0,0.0,18,10,0.0,0.0,36.0,0.0,0.0
2,5,2019-04-12,DL,2955,JFK,"Seattle, WA",1630,1654.0,24.0,1.0,16,10,10.0,0.0,18.0,0.0,0.0
2,5,2019-04-12,DL,2986,JFK,"New Orleans, LA",1630,1630.0,0.0,0.0,16,5,0.0,0.0,29.0,0.0,0.0
2,6,2019-04-13,DL,546,Malone,"Houston, TX",1325,1324.0,-1.0,-1.0,13,6,0.0,0.0,24.0,0.0,0.0
2,6,2019-04-13,DL,572,JFK,"Orlando, FL",1600,1632.0,32.0,2.0,16,4,12.0,0.0,0.0,0.0,13.0
2,6,2019-04-13,DL,879,Malone,"Houston, TX",805,757.0,-8.0,-1.0,8,6,0.0,0.0,21.0,0.0,0.0
2,6,2019-04-13,DL,956,JFK,"Atlanta, GA",1337,1345.0,8.0,0.0,13,4,8.0,0.0,17.0,0.0,0.0
2,6,2019-04-13,DL,1374,JFK,"Tampa, FL",1555,1710.0,75.0,5.0,15,5,53.0,0.0,0.0,0.0,0.0
2,6,2019-04-13,DL,1526,JFK,"Tampa, FL",807,1113.0,186.0,12.0,8,5,186.0,0.0,7.0,0.0,0.0
2,6,2019-04-13,DL,1625,JFK,"Charleston, SC",810,839.0,29.0,1.0,8,3,9.0,0.0,0.0,0.0,19.0
2,6,2019-04-13,DL,1628,JFK,"Los Angeles, CA",700,701.0,1.0,0.0,7,10,0.0,0.0,19.0,0.0,0.0
2,6,2019-04-13,DL,1798,JFK,"Atlanta, GA",850,934.0,44.0,2.0,8,4,30.0,0.0,0.0,0.0,0.0
2,6,2019-04-13,DL,1881,Malone,"Dallas/Fort Worth, TX",1655,738.0,883.0,12.0,16,6,0.0,883.0,4.0,0.0,0.0
2,6,2019-04-13,DL,1975,JFK,"Austin, TX",1830,1853.0,23.0,1.0,18,7,10.0,0.0,0.0,0.0,6.0
2,6,2019-04-13,DL,2456,JFK,"Miami, FL",1940,2043.0,63.0,4.0,19,5,43.0,0.0,0.0,0.0,0.0
2,6,2019-04-13,DL,2488,JFK,"New Orleans, LA",1935,2040.0,65.0,4.0,19,5,19.0,0.0,0.0,0.0,25.0
2,6,2019-04-13,DL,2500,Malone,"Dallas/Fort Worth, TX",1015,1740.0,445.0,12.0,10,6,330.0,0.0,125.0,0.0,0.0
2,6,2019-04-13,DL,2559,Malone,"Tampa, FL",833,840.0,7.0,0.0,8,5,7.0,0.0,17.0,0.0,0.0
2,6,2019-04-13,DL,2604,Malone,"Tampa, FL",1605,1631.0,26.0,1.0,16,5,22.0,0.0,0.0,0.0,0.0
2,6,2019-04-13,DL,2719,Malone,"Chicago, IL",1215,1514.0,179.0,11.0,12,3,0.0,0.0,0.0,0.0,145.0
2,6,2019-04-13,DL,2912,Malone,"Fort Lauderdale, FL",805,801.0,-4.0,-1.0,8,5,0.0,0.0,16.0,0.0,0.0
2,6,2019-04-13,DL,2950,JFK,"Seattle, WA",1815,1913.0,58.0,3.0,18,10,47.0,0.0,0.0,0.0,0.0
